Town,Date,Collected_at,Temperature,Weather,Real_feel,Humidity
bribir,10.05.2020.,13:30,23.0,pretežno oblačno,24.0,35.0
brgud,10.05.2020.,13:30,23.0,pretežno oblačno,24.0,35.0
bakar,10.05.2020.,13:30,21.0,umjereno oblačno,24.0,38.0
bakarac,10.05.2020.,13:30,21.0,umjereno oblačno,24.0,38.0
baska,10.05.2020.,13:30,21.0,pretežno oblačno,24.0,51.0
rubesi,10.05.2020.,13:30,16.0,pretežno oblačno,16.0,50.0
rijeka,10.05.2020.,13:30,21.0,umjereno oblačno,24.0,38.0
opatija,10.05.2020.,13:30,24.0,pretežno oblačno,24.0,35.0
jadranovo,10.05.2020.,13:30,22.0,malo oblačno,24.0,35.0
vrata,10.05.2020.,13:30,21.0,pretežno oblačno,24.0,45.0
selce,10.05.2020.,13:30,22.0,malo oblačno,24.0,35.0
veprinac,10.05.2020.,13:30,21.0,umjereno oblačno,24.0,38.0
omisalj,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
matulji,10.05.2020.,15:30,18.0,umjereno oblačno,18.0,52.0
medveja,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
lovran,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
lipa,10.05.2020.,15:30,25.0,pretežno oblačno,25.0,34.0
krasica,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
klenovica,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,40.0
kastav,10.05.2020.,15:30,18.0,umjereno oblačno,18.0,52.0
klana,10.05.2020.,15:30,18.0,umjereno oblačno,18.0,52.0
grobnik,10.05.2020.,15:30,25.0,pretežno oblačno,25.0,34.0
hreljin,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
fuzine,10.05.2020.,15:30,24.0,umjereno oblačno,25.0,40.0
drazice,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
delnice,10.05.2020.,15:30,24.0,umjereno oblačno,25.0,40.0
crikvenica,10.05.2020.,15:30,22.0,malo oblačno,24.0,44.0
bribir,10.05.2020.,15:30,24.0,pretežno oblačno,24.0,34.0
brgud,10.05.2020.,15:30,24.0,pretežno oblačno,24.0,34.0
bakar,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
bakarac,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
baska,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,40.0
rubesi,10.05.2020.,15:30,18.0,umjereno oblačno,18.0,52.0
rijeka,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
opatija,10.05.2020.,15:30,25.0,umjereno oblačno,25.0,35.0
jadranovo,10.05.2020.,15:30,22.0,malo oblačno,24.0,44.0
vrata,10.05.2020.,15:30,24.0,umjereno oblačno,25.0,40.0
selce,10.05.2020.,15:30,22.0,malo oblačno,24.0,44.0
veprinac,10.05.2020.,15:30,22.0,umjereno oblačno,24.0,41.0
omisalj,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
matulji,10.05.2020.,17:30,16.0,malo oblačno,16.0,44.0
medveja,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
lovran,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
lipa,10.05.2020.,17:30,24.0,malo oblačno,24.0,33.0
krasica,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
klenovica,10.05.2020.,17:30,23.0,umjereno oblačno,24.0,37.0
kastav,10.05.2020.,17:30,16.0,malo oblačno,16.0,44.0
klana,10.05.2020.,17:30,16.0,malo oblačno,16.0,44.0
grobnik,10.05.2020.,17:30,24.0,malo oblačno,24.0,33.0
hreljin,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
fuzine,10.05.2020.,17:30,23.0,malo oblačno,24.0,37.0
drazice,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
delnice,10.05.2020.,17:30,23.0,malo oblačno,24.0,37.0
crikvenica,10.05.2020.,17:30,21.0,malo oblačno,24.0,51.0
bribir,10.05.2020.,17:30,22.0,pretežno oblačno,23.0,30.0
brgud,10.05.2020.,17:30,22.0,pretežno oblačno,23.0,30.0
bakar,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
bakarac,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
baska,10.05.2020.,17:30,23.0,umjereno oblačno,24.0,37.0
rubesi,10.05.2020.,17:30,16.0,malo oblačno,16.0,44.0
rijeka,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
opatija,10.05.2020.,17:30,24.0,umjereno oblačno,24.0,35.0
jadranovo,10.05.2020.,17:30,21.0,malo oblačno,24.0,51.0
vrata,10.05.2020.,17:30,23.0,malo oblačno,24.0,37.0
selce,10.05.2020.,17:30,21.0,malo oblačno,24.0,51.0
veprinac,10.05.2020.,17:30,21.0,malo oblačno,24.0,47.0
omisalj,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
matulji,10.05.2020.,19:30,14.0,malo oblačno,14.0,55.0
medveja,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
lovran,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
lipa,10.05.2020.,19:30,24.0,malo oblačno,24.0,35.0
krasica,10.05.2020.,19:30,18.0,malo oblačno,18.0,71.0
klenovica,10.05.2020.,19:30,21.0,umjereno oblačno,24.0,50.0
kastav,10.05.2020.,19:30,14.0,malo oblačno,14.0,55.0
klana,10.05.2020.,19:30,14.0,malo oblačno,14.0,55.0
